scaffold,start,end,mid,sites,sitesUsed,D,fd,fdM
chr1,1,20000,3660,4207,52,-0.5448,nan,-0.2386
chr1,20001,40000,31138,13104,126,-0.4299,nan,-0.2435
chr1,40001,60000,49692,18005,212,-0.2622,nan,-0.1627
chr1,60001,80000,63058,5652,30,0.2817,0.2549,0.1812
chr1,80001,100000,88962,1802,8,nan,nan,nan
chr1,100001,120000,119717,314,0,nan,nan,nan
chr1,120001,140000,127511,6870,76,-0.7756,nan,-0.3957
chr1,140001,160000,157565,4755,25,-0.2115,nan,-0.1082
chr1,160001,180000,170590,17502,136,0.3346,0.3377,0.177
chr1,180001,200000,190125,14761,138,-0.2765,nan,-0.1231
chr1,200001,220000,209492,16794,98,-0.4436,nan,-0.3147
chr1,220001,240000,226176,7150,38,0.2772,0.2471,0.1867
chr1,240001,260000,250485,17583,95,0.2372,0.2479,0.1849
chr1,260001,280000,269749,18238,171,0.0625,0.0962,0.0432
chr1,280001,300000,290242,16980,82,0.5866,0.4978,0.3778
chr1,300001,320000,302230,3956,10,0.3571,0.229,0.0716
chr1,320001,340000,338158,2584,14,0.8075,0.7226,0.7226
chr1,340001,360000,343301,3476,38,0.1319,0.2429,0.0696
chr1,360001,380000,376767,336,11,-0.3333,nan,-0.0688
chr1,380001,400000,381509,569,2,nan,nan,nan
chr1,400001,420000,nan,0,nan,nan,nan,nan
chr1,420001,440000,nan,0,nan,nan,nan,nan
chr1,440001,460000,nan,0,nan,nan,nan,nan
chr1,460001,480000,nan,0,nan,nan,nan,nan
chr1,480001,500000,nan,0,nan,nan,nan,nan
chr1,500001,520000,nan,0,nan,nan,nan,nan
chr1,520001,540000,nan,0,nan,nan,nan,nan
chr1,540001,560000,nan,0,nan,nan,nan,nan
chr1,560001,580000,nan,0,nan,nan,nan,nan
chr1,580001,600000,nan,0,nan,nan,nan,nan
chr1,600001,620000,nan,0,nan,nan,nan,nan
chr1,620001,640000,nan,0,nan,nan,nan,nan
chr1,640001,660000,nan,0,nan,nan,nan,nan
chr1,660001,680000,nan,0,nan,nan,nan,nan
chr1,680001,700000,nan,0,nan,nan,nan,nan
chr1,700001,720000,nan,0,nan,nan,nan,nan
chr1,720001,740000,nan,0,nan,nan,nan,nan
chr1,740001,760000,nan,0,nan,nan,nan,nan
chr1,760001,780000,nan,0,nan,nan,nan,nan
chr1,780001,800000,nan,0,nan,nan,nan,nan
chr1,800001,820000,nan,0,nan,nan,nan,nan
chr1,820001,840000,nan,0,nan,nan,nan,nan
chr1,840001,860000,nan,0,nan,nan,nan,nan
chr1,860001,880000,nan,0,nan,nan,nan,nan
chr1,880001,900000,893599,6091,86,-0.3332,nan,-0.2277
chr1,900001,920000,906484,8645,85,0.136,0.2387,0.1444
chr1,920001,940000,927588,10496,199,-0.137,nan,-0.1146
chr1,940001,960000,949868,4465,67,-0.2811,nan,-0.3054
chr1,960001,980000,969666,8601,164,-0.0394,nan,-0.0214
chr1,980001,1000000,994140,6643,63,0.1186,0.2373,0.0743
chr1,1000001,1020000,1010313,13371,152,0.1995,0.2406,0.1402
chr1,1020001,1040000,1023916,7096,43,0.0856,0.0967,0.0484
chr1,1040001,1060000,1051268,14245,73,-0.081,nan,-0.0668
chr1,1060001,1080000,1072058,13707,71,0.086,0.1169,0.063
